2024-03-10 16:06:52: Running on: cuda
2024-03-10 16:06:52: Experiment log path in: C:\Users\17301\Desktop\∫Ω∞‡—”ŒÛ‘§≤‚ µ—È\logs\udata\20240310-160652
2024-03-10 16:06:52: Experiment configs are: Namespace(seed=31, device='cuda', debug=False, running_mode='train', num_hist=12, num_pred=12, early_stop_patience=10, epochs=100, lr_init=0.001, load_model=False, best_path='None', hidden_dim=16, num_heads=8, batch_size=64, block_layers=2, input_dim=3, output_dim=2, dataset='udata', scalar_type='Standard', train_ratio=0.7, valid_ratio=0.2, test_ratio=0.1, log_dir='C:\\Users\\17301\\Desktop\\∫Ω∞‡—”ŒÛ‘§≤‚ µ—È\\logs\\udata\\20240310-160652')
2024-03-10 16:06:54: udata Dataset Load Finished.
2024-03-10 16:07:01: Batch: 0,  Train Loss: 91.46831512451172
2024-03-10 16:58:06: Batch: 0,  Valid Loss: 51.741119384765625
2024-03-10 16:58:15: Batch: 50,  Valid Loss: 56.470523834228516
2024-03-10 16:58:23: Batch: 100,  Valid Loss: 58.76722717285156
2024-03-10 16:58:32: Batch: 150,  Valid Loss: 68.16651916503906
2024-03-10 16:58:40: Batch: 200,  Valid Loss: 59.64698028564453
2024-03-10 16:58:48: Epoch: 5, Valid Loss: 63.214262078165525
2024-03-10 16:58:48: Batch: 0,  Train Loss: 62.52534484863281
2024-03-10 16:59:15: Batch: 50,  Train Loss: 68.66399383544922
2024-03-10 16:59:43: Batch: 100,  Train Loss: 62.58698654174805
2024-03-10 17:00:10: Batch: 150,  Train Loss: 62.81661605834961
2024-03-10 17:00:37: Batch: 200,  Train Loss: 67.1414794921875
2024-03-10 17:01:04: Batch: 250,  Train Loss: 65.36262512207031
2024-03-10 17:01:31: Batch: 300,  Train Loss: 63.71854782104492
